1.01810874  0.67601364  0.79331567  1.49217853  2.23103028  4.69683826 8.85600971 40.05308042
1.08334262e+00 6.27260458e-01 7.49032245e-01 1.43568784e+00 3.92182996e+00 1.45046783e+01 5.16785220e+01 1.25987375e+04
9.64730028e-01 6.51344653e-01 7.08578979e-01 1.60157581e+00 4.55596715e+00 1.76589716e+01 6.63995778e+01 2.14211712e+04
1.12491233e+00 8.28311042e-01 7.09610964e-01 1.63130646e+00 4.51194338e+00 1.76331343e+01 6.68964313e+01 2.66154394e+04
1.38767010e+00 7.98979958e-01 7.27923495e-01 1.53145119e+00 3.98257679e+00 1.45481243e+01 4.62231170e+01 3.90963537e+03
1.65166469e+00 9.02056236e-01 7.56690901e-01 1.45724362e+00 3.41574836e+00 1.55791415e+01 3.05775046e+01 1.03801142e+03
2.11894585  0.97990871  0.81179079  1.28274648  2.76190691  6.61693777 12.28414564 33.51516183
1.93296099  1.19949174  0.96423682  1.42811016  2.93628969  6.78397716 12.08081677 29.6525825


1.02898042  0.69085271  0.79449794  1.48798972  2.24258825  4.70067889 8.85031682 40.50701194
1.06465960e+00 6.27200771e-01 7.50656925e-01 1.42802761e+00 3.91093779e+00 1.45252686e+01 7.08440369e+01 1.27904686e+04
9.85462068e-01 6.45967144e-01 7.14909566e-01 1.60355459e+00 4.56097204e+00 3.35518811e+01 1.79635843e+02 2.13395815e+04
1.13643795e+00 8.19992915e-01 7.09155160e-01 1.63460402e+00 4.51132037e+00 2.22652776e+01 1.04764109e+02 2.64180757e+04
1.39185087e+00 7.95930661e-01 7.34268173e-01 1.52778501e+00 3.98799964e+00 1.62535590e+01 5.09188917e+01 4.06010281e+03
1.62189060e+00 8.98339686e-01 7.55706189e-01 1.44883551e+00 3.41182418e+00 2.23155898e+01 3.07592692e+01 1.85936650e+03
2.15672355  0.96915035  0.81275933  1.28081092  2.75687854  6.61472797 12.29204851 33.50134239
1.94050457  1.18818892  0.96092314  1.42734048  2.94759223  6.76744432 12.07882088 29.70405151
